dataset,false_positive_to_false_negative_cost,withheld_true_to_false_negative_cost,withheld_false_to_false_positive_cost,strategy,expected_loss,gate_break_even_acquisition_cost_per_candidate,fixed_gate_improves_on_original,winner
Challenge 2015,0.25,0.0,0.0,original_candidate,0.16176470588235295,,True,False
Challenge 2015,0.25,0.0,0.0,hard_gate,0.1568627450980392,0.004901960784313736,True,True
Challenge 2015,0.25,0.0,0.25,original_candidate,0.16176470588235295,,True,False
Challenge 2015,0.25,0.0,0.25,hard_gate,0.15808823529411764,0.003676470588235309,True,True
Challenge 2015,0.25,0.25,0.0,original_candidate,0.16176470588235295,,False,True
Challenge 2015,0.25,0.25,0.0,hard_gate,0.1650326797385621,0.0,False,False
Challenge 2015,0.25,0.25,0.25,original_candidate,0.16176470588235295,,False,True
Challenge 2015,0.25,0.25,0.25,hard_gate,0.16625816993464052,0.0,False,False
Challenge 2015,0.25,0.5,0.0,original_candidate,0.16176470588235295,,False,True
Challenge 2015,0.25,0.5,0.0,hard_gate,0.17320261437908496,0.0,False,False
Challenge 2015,0.25,0.5,0.25,original_candidate,0.16176470588235295,,False,True
Challenge 2015,0.25,0.5,0.25,hard_gate,0.1744281045751634,0.0,False,False
Challenge 2015,0.25,1.0,0.0,original_candidate,0.16176470588235295,,False,True
Challenge 2015,0.25,1.0,0.0,hard_gate,0.1895424836601307,0.0,False,False
Challenge 2015,0.25,1.0,0.25,original_candidate,0.16176470588235295,,False,True
Challenge 2015,0.25,1.0,0.25,hard_gate,0.19076797385620914,0.0,False,False
Challenge 2015,0.5,0.0,0.0,original_candidate,0.3235294117647059,,True,False
Challenge 2015,0.5,0.0,0.0,hard_gate,0.3137254901960784,0.009803921568627472,True,True
Challenge 2015,0.5,0.0,0.25,original_candidate,0.3235294117647059,,True,False
Challenge 2015,0.5,0.0,0.25,hard_gate,0.3161764705882353,0.007352941176470618,True,True
Challenge 2015,0.5,0.25,0.0,original_candidate,0.3235294117647059,,True,False
Challenge 2015,0.5,0.25,0.0,hard_gate,0.32189542483660133,0.0016339869281045694,True,True
Challenge 2015,0.5,0.25,0.25,original_candidate,0.3235294117647059,,False,True
Challenge 2015,0.5,0.25,0.25,hard_gate,0.3243464052287582,0.0,False,False
Challenge 2015,0.5,0.5,0.0,original_candidate,0.3235294117647059,,False,True
Challenge 2015,0.5,0.5,0.0,hard_gate,0.3300653594771242,0.0,False,False
Challenge 2015,0.5,0.5,0.25,original_candidate,0.3235294117647059,,False,True
Challenge 2015,0.5,0.5,0.25,hard_gate,0.33251633986928103,0.0,False,False
Challenge 2015,0.5,1.0,0.0,original_candidate,0.3235294117647059,,False,True
Challenge 2015,0.5,1.0,0.0,hard_gate,0.3464052287581699,0.0,False,False
Challenge 2015,0.5,1.0,0.25,original_candidate,0.3235294117647059,,False,True
Challenge 2015,0.5,1.0,0.25,hard_gate,0.3488562091503268,0.0,False,False
Challenge 2015,1.0,0.0,0.0,original_candidate,0.6470588235294118,,True,False
Challenge 2015,1.0,0.0,0.0,hard_gate,0.6274509803921569,0.019607843137254943,True,True
Challenge 2015,1.0,0.0,0.25,original_candidate,0.6470588235294118,,True,False
Challenge 2015,1.0,0.0,0.25,hard_gate,0.6323529411764706,0.014705882352941235,True,True
Challenge 2015,1.0,0.25,0.0,original_candidate,0.6470588235294118,,True,False
Challenge 2015,1.0,0.25,0.0,hard_gate,0.6356209150326797,0.011437908496732097,True,True
Challenge 2015,1.0,0.25,0.25,original_candidate,0.6470588235294118,,True,False
Challenge 2015,1.0,0.25,0.25,hard_gate,0.6405228758169934,0.0065359477124183885,True,True
Challenge 2015,1.0,0.5,0.0,original_candidate,0.6470588235294118,,True,False
Challenge 2015,1.0,0.5,0.0,hard_gate,0.6437908496732027,0.0032679738562091387,True,True
Challenge 2015,1.0,0.5,0.25,original_candidate,0.6470588235294118,,False,True
Challenge 2015,1.0,0.5,0.25,hard_gate,0.6486928104575164,0.0,False,False
Challenge 2015,1.0,1.0,0.0,original_candidate,0.6470588235294118,,False,True
Challenge 2015,1.0,1.0,0.0,hard_gate,0.6601307189542484,0.0,False,False
Challenge 2015,1.0,1.0,0.25,original_candidate,0.6470588235294118,,False,True
Challenge 2015,1.0,1.0,0.25,hard_gate,0.6650326797385621,0.0,False,False
